regiao;estado;municipio;coduf;codmun;codRegiaoSaude;nomeRegiaoSaude;data;semanaEpi;populacaoTCU2019;casosAcumulado;casosNovos;obitosAcumulado;obitosNovos;Recuperadosnovos;emAcompanhamentoNovos;interior/metropolitana
Brasil;;;76;;;;01/10/2022;39;210147125;34678510;5986;686254;218;33857490;134766;
Norte;RO;;11;;;;01/10/2022;39;1777225;456764;27;7358;0;;;
Norte;AC;;12;;;;01/10/2022;39;881935;149730;7;2029;0;;;
Norte;AM;;13;;;;01/10/2022;39;4144597;616328;21;14327;0;;;
Norte;RR;;14;;;;01/10/2022;39;605761;175057;0;2173;0;;;
Norte;PA;;15;;;;01/10/2022;39;8602865;840259;172;18854;2;;;
Norte;AP;;16;;;;01/10/2022;39;845731;178276;0;2163;0;;;
Norte;TO;;17;;;;01/10/2022;39;1572866;344476;0;4204;0;;;
Nordeste;MA;;21;;;;01/10/2022;39;7075181;472105;0;10993;0;;;
Nordeste;PI;;22;;;;01/10/2022;39;3273227;401821;0;7954;0;;;
Nordeste;CE;;23;;;;01/10/2022;39;9132078;1384688;94;27685;7;;;
Nordeste;RN;;24;;;;01/10/2022;39;3506853;556825;0;8469;0;;;
Nordeste;PB;;25;;;;01/10/2022;39;4018127;653083;17;10403;0;;;
Nordeste;PE;;26;;;;01/10/2022;39;9557071;1058778;0;22299;0;;;
Nordeste;AL;;27;;;;01/10/2022;39;3337357;321115;12;7124;0;;;
Nordeste;SE;;28;;;;01/10/2022;39;2298696;342890;1;6436;0;;;
Nordeste;BA;;29;;;;01/10/2022;39;14873064;1698098;405;30703;0;;;
Sudeste;MG;;31;;;;01/10/2022;39;21168791;3880533;0;63780;0;;;
Sudeste;ES;;32;;;;01/10/2022;39;4018650;1215449;0;14817;0;;;
Sudeste;RJ;;33;;;;01/10/2022;39;17264943;2516066;0;75695;0;;;
Sudeste;SP;;35;;;;01/10/2022;39;45919049;6099193;3081;174795;191;;;
Sul;PR;;41;;;;01/10/2022;39;11433957;2748520;227;45348;2;;;
Sul;SC;;42;;;;01/10/2022;39;7164788;1876698;283;22406;3;;;
Sul;RS;;43;;;;01/10/2022;39;11377239;2735304;607;41089;2;;;
Centro-Oeste;MS;;50;;;;01/10/2022;39;2778986;580990;0;10835;0;;;
Centro-Oeste;MT;;51;;;;01/10/2022;39;3484466;830597;0;14947;0;;;
Centro-Oeste;GO;;52;;;;01/10/2022;39;7018354;1705757;1032;27537;11;;;
Centro-Oeste;DF;;53;;;;01/10/2022;39;3015268;839110;0;11831;0;;;
Norte;RO;;11;110000;;;01/10/2022;39;;0;0;0;0;;;
Norte;RO;Alta Floresta D'Oeste;11;110001;11005;ZONA DA MATA;01/10/2022;39;22945;8998;0;82;0;;;0
Norte;RO;Ariquemes;11;110002;11001;VALE DO JAMARI;01/10/2022;39;107863;34775;0;564;0;;;0
Norte;RO;Cabixi;11;110003;11006;CONE SUL;01/10/2022;39;5312;1834;0;23;0;;;0
Norte;RO;Cacoal;11;110004;11002;CAFE;01/10/2022;39;85359;30029;0;357;0;;;0
Norte;RO;Cerejeiras;11;110005;11006;CONE SUL;01/10/2022;39;16323;5998;0;73;0;;;0
Norte;RO;Colorado do Oeste;11;110006;11006;CONE SUL;01/10/2022;39;15882;4584;0;53;0;;;0
Norte;RO;Corumbiara;11;110007;11006;CONE SUL;01/10/2022;39;7391;2172;0;25;0;;;0
Norte;RO;Costa Marques;11;110008;11007;VALE DO GUAPORE;01/10/2022;39;18331;4397;0;45;0;;;0
Norte;RO;Espigão D'Oeste;11;110009;11002;CAFE;01/10/2022;39;32374;7413;0;90;0;;;0
Norte;RO;Guajará-Mirim;11;110010;11004;MADEIRA-MAMORE;01/10/2022;39;46174;6639;2;244;0;;;0
