"Código","Unidade Territorial","UF","Referência","total de pessoas elegíveis ao recebimento do auxílio emergencial","Soma do total a ser repassado pelo Auxílio emergencial e pela extensão do auxílio (todos os públicos)","Pessoas elegíveis do público Cadastro Único (sem bolsa)","Valor total a ser repassado para público Cadastro Único (sem bolsa)","Pessoas elegíveis do público Aplicativo Caixa","Valor total a ser repassado para público Aplicativo Caixa","Pessoas elegíveis por meio Judicial","Valor total a ser repassado para público Judicial","Valor total a ser repassado para público Bolsa Família"
"110001","ALTA FLORESTA D´OESTE","RO","2020","9195","39719566","1935","7973400.0","4930","20980500.0","3","9000.0","10756666"
"110002","ARIQUEMES","RO","2020","36766","164391298","6701","29303100.0","24980","108364800.0","22","84000.0","26639398"
"110003","CABIXI","RO","2020","1889","8269052","414","1779300.0","1208","5217000.0","0","0","1272752"
"110004","CACOAL","RO","2020","28822","122647367","5942","24940800.0","18616","77246100.0","10","33000.0","20427467"
"110005","CEREJEIRAS","RO","2020","5963","26196059","1506","6236400.0","3467","14867400.0","4","12000.0","5080259"
"110006","COLORADO DO OESTE","RO","2020","5458","23180788","1211","5055000.0","3698","15615600.0","1","3000.0","2507188"
"110007","CORUMBIARA","RO","2020","2588","11359908","598","2441700.0","1390","6132900.0","0","0","2785308"
"110008","COSTA MARQUES","RO","2020","5321","23365457","888","3556800.0","1837","7898100.0","0","0","11910557"
"110009","ESPIGÃO D´OESTE","RO","2020","10813","46397996","1889","7812300.0","6620","28035600.0","5","21000.0","10529096"
"110010","GUAJARÁ-MIRIM","RO","2020","16374","72274839","3368","14070000.0","7782","34235400.0","8","24000.0","23945439"
"110011","JARU","RO","2020","18527","81495746","3618","15823200.0","12059","50865300.0","11","36000.0","14771246"
"110012","JI-PARANÁ","RO","2020","43329","188137869","9531","41992200.0","30527","129474300.0","42","145200.0","16526169"
"110013","MACHADINHO D´OESTE","RO","2020","13004","57046530","3059","13092000.0","7148","30600000.0","6","18000.0","13336530"
"110014","NOVA BRASILÂNDIA D´OESTE","RO","2020","6500","27480038","1692","6894600.0","2554","10550400.0","1","3000.0","10032038"
"110015","OURO PRETO DO OESTE","RO","2020","13297","57644546","3369","14222700.0","8303","35673600.0","4","12000.0","7736246"
"110018","PIMENTA BUENO","RO","2020","11107","48199987","1865","7814400.0","8097","34692900.0","17","63000.0","5629687"
"110020","PORTO VELHO","RO","2020","189191","854452695","34632","153027900.0","119830","514891800.0","225","766800.0","185766195"
"110025","PRESIDENTE MÉDICI","RO","2020","7794","33587481","2194","8975700.0","3214","13360500.0","3","9000.0","11242281"
"110026","RIO CRESPO","RO","2020","1247","5608057","234","1080000.0","733","3242100.0","0","0","1285957"
"110028","ROLIM DE MOURA","RO","2020","18513","80189718","4221","17862000.0","12350","52547700.0","13","42000.0","9738018"
"110029","SANTA LUZIA D´OESTE","RO","2020","2682","11539793","609","2486400.0","1456","6039300.0","0","0","3014093"
"110030","VILHENA","RO","2020","29646","129931907","6690","28272000.0","19532","83000400.0","14","51000.0","18608507"
"110032","SÃO MIGUEL DO GUAPORÉ","RO","2020","7949","33857645","1892","7803000.0","4796","20416200.0","1","3000.0","5635445"
"110033","NOVA MAMORÉ","RO","2020","10392","46184794","2287","9905100.0","5852","26093400.0","1","6000.0","10180294"
"110034","ALVORADA D´OESTE","RO","2020","5505","24208683","1394","5748900.0","2278","9499500.0","3","9000.0","8951283"
"110037","ALTO ALEGRE DOS PARECIS","RO","2020","4231","18173419","697","2863500.0","2294","9894000.0","2","6000.0","5409919"
"110040","ALTO PARAÍSO","RO","2020","6727","29445135","1670","7071600.0","3389","14588700.0","0","0","7784835"
"110045","BURITIS","RO","2020","14124","60945940","2564","10699500.0","8446","36276300.0","5","18000.0","13952140"
"110050","NOVO HORIZONTE DO OESTE","RO","2020","3064","12894409","861","3513900.0","1163","4869300.0","1","3000.0","4508209"
"110060","CACAULÂNDIA","RO","2020","1792","7560244","543","2195100.0","857","3608100.0","1","3000.0","1754044"
"110070","CAMPO NOVO DE RONDÔNIA","RO","2020","3965","16859824","1111","4682700.0","1930","8234400.0","1","3000.0","3939724"
"110080","CANDEIAS DO JAMARI","RO","2020","10094","47851349","2230","10300200.0","4547","19242900.0","10","36000.0","18272249"
"110090","CASTANHEIRAS","RO","2020","1182","4956632","251","1016700.0","586","2438100.0","1","3000.0","1498832"
"110092","CHUPINGUAIA","RO","2020","2813","12225914","466","1998900.0","1688","7215000.0","0","0","3012014"
"110094","CUJUBIM","RO","2020","6905","30640630","1568","6803400.0","3613","15798000.0","2","6000.0","8033230"
"110100","GOVERNADOR JORGE TEIXEIRA","RO","2020","3525","15001393","781","3246000.0","1382","5840400.0","1","3000.0","5911993"
"110110","ITAPUÃ DO OESTE","RO","2020","3332","15170728","806","3551100.0","1697","7279800.0","1","1200.0","4338628"
"110120","MINISTRO ANDREAZZA","RO","2020","2578","10822368","720","2984400.0","1123","4650000.0","0","0","3187968"
"110130","MIRANTE DA SERRA","RO","2020","4436","18582301","1422","5682300.0","1784","7492500.0","2","6000.0","5401501"
"110140","MONTE NEGRO","RO","2020","5045","21385249","1326","5518200.0","2693","11462400.0","1","3000.0","4401649"
"110143","NOVA UNIÃO","RO","2020","2780","11797378","919","3826200.0","1285","5492100.0","0","0","2479078"
"110145","PARECIS","RO","2020","1451","6196104","433","1783500.0","598","2555700.0","0","0","1856904"
"110146","PIMENTEIRAS DO OESTE","RO","2020","724","3257025","172","718500.0","323","1427700.0","0","0","1110825"
"110147","PRIMAVERA DE RONDÔNIA","RO","2020","1178","4873155","411","1627800.0","466","1965600.0","1","3000.0","1276755"
"110148","SÃO FELIPE D´OESTE","RO","2020","1776","7467991","455","1823400.0","1099","4752300.0","0","0","892291"
"110149","SÃO FRANCISCO DO GUAPORÉ","RO","2020","6371","27824478","1654","6955500.0","3224","13838700.0","1","3000.0","7027278"
"110150","SERINGUEIRAS","RO","2020","4855","20631595","1429","5875800.0","2068","8757300.0","1","3000.0","5995495"
"110155","TEIXEIRÓPOLIS","RO","2020","1648","6982525","421","1740300.0","838","3591600.0","0","0","1650625"
"110160","THEOBROMA","RO","2020","3375","14130105","1044","4325100.0","1488","6208200.0","1","3000.0","3593805"
"110170","URUPÁ","RO","2020","4399","18696777","929","3746100.0","2290","9534000.0","2","6000.0","5410677"
"110175","VALE DO ANARI","RO","2020","3359","14255841","822","3308400.0","1518","6395400.0","0","0","4552041"
"110180","VALE DO PARAÍSO","RO","2020","2815","11785325","656","2702100.0","1302","5416200.0","1","3000.0","3664025"
"120001","ACRELÂNDIA","AC","2020","5953","25268162","1017","4196400.0","2197","9037200.0","2","9000.0","12025562"
"120005","ASSIS BRASIL","AC","2020","5454","22145206","432","1875300.0","2661","11037300.0","1","6000.0","9226606"
"120010","BRASILÉIA","AC","2020","12671","54504945","1425","6185700.0","6050","25520700.0","1","3000.0","22795545"
"120013","BUJARI","AC","2020","4931","21778464","639","2960400.0","2181","9081900.0","4","12000.0","9724164"
"120017","CAPIXABA","AC","2020","4612","19926637","968","4218600.0","1403","5788500.0","0","0","9919537"
"120020","CRUZEIRO DO SUL","AC","2020","34988","145972873","4619","20245200.0","13163","54070800.0","25","81000.0","71575873"
"120025","EPITACIOLÂNDIA","AC","2020","7760","34181902","720","3102300.0","4124","17357400.0","1","3000.0","13719202"
"120030","FEIJÓ","AC","2020","12906","52598443","1321","5677500.0","3179","13322700.0","0","0","33598243"
"120032","JORDÃO","AC","2020","3381","12459465","400","1644300.0","697","2505000.0","0","0","8310165"
"120033","MÂNCIO LIMA","AC","2020","7815","30371876","764","3203100.0","1585","6537600.0","0","0","20631176"
"120034","MANOEL URBANO","AC","2020","4623","18204379","742","3053400.0","968","3952200.0","2","9000.0","11189779"
"120035","MARECHAL THAUMATURGO","AC","2020","6511","25358947","892","3886500.0","898","3706200.0","0","0","17766247"
"120038","PLÁCIDO DE CASTRO","AC","2020","6225","27250773","908","3845700.0","2832","11779500.0","1","3000.0","11622573"
"120039","PORTO WALTER","AC","2020","3784","14469819","538","2185200.0","606","2499900.0","1","3000.0","9781719"
"120040","RIO BRANCO","AC","2020","138500","609625694","15949","69686700.0","86507","361471800.0","80","279000.0","178188194"
"120042","RODRIGUES ALVES","AC","2020","5898","22798194","594","2369100.0","982","4071600.0","2","6000.0","16351494"
"120043","SANTA ROSA DO PURUS","AC","2020","2301","8685028","170","669300.0","331","1220700.0","0","0","6795028"
"120045","SENADOR GUIOMARD","AC","2020","9502","44240874","1221","5822700.0","3070","12591000.0","6","18000.0","25809174"
"120050","SENA MADUREIRA","AC","2020","18135","74142419","2105","9050700.0","4504","18265200.0","3","9000.0","46817519"
"120060","TARAUACÁ","AC","2020","16378","67032423","1650","7414800.0","2946","12078900.0","1","3000.0","47535723"
"120070","XAPURI","AC","2020","6919","30303377","840","3537000.0","2772","11637600.0","1","3000.0","15125777"
"120080","PORTO ACRE","AC","2020","7927","34196017","1395","6182100.0","2361","9679800.0","3","9000.0","18325117"
"130002","ALVARÃES","AM","2020","5944","25365915","594","2638800.0","1460","6324600.0","0","0","16402515"
"130006","AMATURÁ","AM","2020","3906","16301681","635","2678400.0","726","3120900.0","0","0","10502381"
"130008","ANAMÃ","AM","2020","4573","18003635","520","2164200.0","860","3533400.0","0","0","12306035"
"130010","ANORI","AM","2020","6086","25685346","537","2357700.0","1245","4957800.0","1","3000.0","18366846"
"130014","APUÍ","AM","2020","5942","24995041","1072","4453800.0","2276","9678300.0","0","0","10862941"
"130020","ATALAIA DO NORTE","AM","2020","4526","18948877","491","2147700.0","842","3366300.0","0","0","13434877"
"130030","AUTAZES","AM","2020","18095","78418002","1880","9223200.0","4753","19539300.0","0","0","49655502"
"130040","BARCELOS","AM","2020","6815","29482105","961","4098000.0","1960","8082600.0","0","0","17301505"
"130050","BARREIRINHA","AM","2020","13268","53925482","1339","5800500.0","3083","12645600.0","0","0","35479382"
"130060","BENJAMIN CONSTANT","AM","2020","13157","55175016","1377","5997000.0","3182","13106100.0","0","0","36071916"
"130063","BERURI","AM","2020","9255","38969819","930","4403700.0","1310","5285100.0","0","0","29281019"
"130068","BOA VISTA DO RAMOS","AM","2020","6707","28246890","1079","4523100.0","1857","7703100.0","0","0","16020690"
"130070","BOCA DO ACRE","AM","2020","13208","60157583","1402","6069000.0","4751","19955700.0","0","0","34132883"
"130080","BORBA","AM","2020","12656","53425361","1005","4178100.0","3242","13745100.0","0","0","35502161"
"130083","CAAPIRANGA","AM","2020","4679","19792076","546","2433000.0","1013","4196100.0","0","0","13162976"
"130090","CANUTAMA","AM","2020","5383","21484402","697","3139800.0","677","2860800.0","1","3000.0","15480802"
"130100","CARAUARI","AM","2020","12708","54807936","1191","5609700.0","2456","10238100.0","0","0","38960136"
"130110","CAREIRO","AM","2020","13714","62073333","1731","7513500.0","3856","16154100.0","1","3000.0","38402733"
"130115","CAREIRO DA VÁRZEA","AM","2020","9037","36319332","578","2347800.0","2139","8773800.0","1","6000.0","25191732"
"130120","COARI","AM","2020","29940","135834160","3307","14931600.0","11278","48295200.0","4","12000.0","72595360"
"130130","CODAJÁS","AM","2020","8765","38580567","968","4151700.0","2547","10547400.0","0","0","23881467"
"130140","EIRUNEPÉ","AM","2020","12188","55017722","1326","6505500.0","2918","12005700.0","0","0","36506522"
"130150","ENVIRA","AM","2020","6236","24897453","598","2861400.0","924","3789600.0","0","0","18246453"
"130160","FONTE BOA","AM","2020","8835","40718745","1056","5021700.0","2770","11283900.0","0","0","24413145"
"130165","GUAJARÁ","AM","2020","5790","23161023","517","2288400.0","1036","4236600.0","0","0","16636023"
"130170","HUMAITÁ","AM","2020","20454","90776933","2984","13078200.0","7202","30318600.0","2","6000.0","47374133"
"130180","IPIXUNA","AM","2020","6868","29010392","479","2268900.0","815","3330300.0","0","0","23411192"
"130185","IRANDUBA","AM","2020","26982","127536600","3766","17346900.0","8349","34640400.0","1","3000.0","75546300"
"130190","ITACOATIARA","AM","2020","39444","176679198","6048","26542500.0","16718","73326600.0","44","156600.0","76653498"
"130195","ITAMARATI","AM","2020","3940","16630761","541","2565900.0","752","3161400.0","0","0","10903461"
"130200","ITAPIRANGA","AM","2020","4062","17999101","620","2651700.0","1221","4994100.0","0","0","10353301"
"130210","JAPURÁ","AM","2020","2492","10602067","263","1229700.0","684","2993700.0","0","0","6378667"
"130220","JURUÁ","AM","2020","4117","16455878","546","2260500.0","990","3770400.0","0","0","10424978"
"130230","JUTAÍ","AM","2020","7839","34302557","928","4622700.0","1763","7573200.0","0","0","22106657"
"130240","LÁBREA","AM","2020","16444","68152058","2110","9079800.0","1889","7748100.0","0","0","51324158"
"130250","MANACAPURU","AM","2020","45594","206434591","5776","26659200.0","14509","60142500.0","9","27000.0","119605891"
"130255","MANAQUIRI","AM","2020","7433","29787100","916","3578700.0","1348","5646600.0","0","0","20561800"
"130260","MANAUS","AM","2020","850946","3850497700","105377","467949900.0","564409","2413039500.0","459","1580400.0","967927900"
"130270","MANICORÉ","AM","2020","18377","76629485","2792","11072400.0","5443","22316400.0","2","9000.0","43231685"
"130280","MARAÃ","AM","2020","6111","23989205","472","2228700.0","884","3384600.0","0","0","18375905"
"130290","MAUÉS","AM","2020","21911","97171656","2435","11371800.0","5988","24685200.0","3","9000.0","61105656"
"130300","NHAMUNDÁ","AM","2020","8161","32832015","985","4290900.0","1174","4839300.0","0","0","23701815"
"130310","NOVA OLINDA DO NORTE","AM","2020","10743","47800816","1147","5159400.0","3191","13289400.0","2","3600.0","29348416"
"130320","NOVO AIRÃO","AM","2020","6161","27245854","763","3276900.0","2094","8847300.0","0","0","15121654"
"130330","NOVO ARIPUANÃ","AM","2020","7410","31999161","721","2913300.0","1859","7581900.0","0","0","21503961"
"130340","PARINTINS","AM","2020","42169","193846682","5304","25176600.0","13675","57216000.0","9","27000.0","111427082"
"130350","PAUINI","AM","2020","6481","27680718","634","2816700.0","1144","4729200.0","0","0","20134818"
"130353","PRESIDENTE FIGUEIREDO","AM","2020","13496","62276118","2720","12627300.0","5728","24398700.0","1","3000.0","25247118"
"130356","RIO PRETO DA EVA","AM","2020","10738","46397847","1604","6764100.0","4129","17242500.0","0","0","22391247"
"130360","SANTA ISABEL DO RIO NEGRO","AM","2020","4672","20438007","527","2322900.0","879","3505200.0","0","0","14609907"
